'Erdos866.g5upper_star_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.T1TargetG5_closed_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.g5upper_star' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.T1TargetG5_closed_3520600' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.lemmaA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.lemmaA_pigeonhole' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.lemmaA_extend' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.ceslemgeneral_star' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.key_ineq_star_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.key_ineq_star_tuned' depends on axioms: [propext, Classical.choice, Quot.sound]
'h4_le_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.T1TargetH4_closed_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.four_le_hFun_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.gFun_four_lt_hFun_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.fibCnt_lt_hFun_five' depends on axioms: [propext, Classical.choice, Quot.sound]
'g5upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'h4upper' depends on axioms: [propext, Classical.choice, Quot.sound]
