'Erdos866.lemmaA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.lemmaA_pigeonhole' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.lemmaA_extend' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.ceslemgeneral_star' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.fStar_mono_x' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.fStar_ge_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.fStar_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.fStar_root_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.fStar_root_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.g5upper_star_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.key_ineq_star_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'h4_le_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'generalupper' depends on axioms: [propext, Classical.choice, Quot.sound]
'hk_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'gFun_le_hFun' depends on axioms: [propext, Classical.choice, Quot.sound]
'subsetsums_to_pairwise' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT:0
