'Erdos866.g5upper_star_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.T1TargetG5_closed_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.g5upper_star' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.T1TargetG5_closed_3520600' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.lemmaA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.lemmaA_pigeonhole' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.lemmaA_extend' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.ceslemgeneral_star' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.key_ineq_star_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.key_ineq_star_tuned' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.key_ineq_star' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.fStar5_le_poly' depends on axioms: [propext, Classical.choice, Quot.sound]
'h4_le_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.T1TargetH4_closed_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.four_le_hFun_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.gFun_four_lt_hFun_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.fibCnt_lt_hFun_five' depends on axioms: [propext, Classical.choice, Quot.sound]
'h4upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'g5upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'h5lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'g5lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'gFun_le_hFun_le_gFun_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'generalupper' depends on axioms: [propext, Classical.choice, Quot.sound]
'weak_sidon_key_ineq' depends on axioms: [propext, Classical.choice, Quot.sound]
'weak_sidon_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ceslemgeneral_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'ceslemgeneral' depends on axioms: [propext, Classical.choice, Quot.sound]
'g4' depends on axioms: [propext, Classical.choice, Quot.sound]
