'Erdos866.h4_eq_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.h4_le_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.h4_eq_4_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.h4_eq_4_c2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.structural_case' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.K_epairs_le2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.balanced_kill' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.T_star' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.hasPPS_of_quad' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.tt_aux' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.triangle_free_fib' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.cap_fib' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.fFunPos_four_lt_crossover8' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.hasPosPairwiseSums_of_dense8' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.dense_case8' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.dichoCerts_ok' depends on axioms: [propext, Quot.sound]
'Erdos866.Dicho.endgame_no_survivor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.K_opairs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.Dicho.K_epairs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.g5upper_star_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.T1TargetG5_closed_charter' depends on axioms: [propext, Classical.choice, Quot.sound]
'h4_le_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.T1TargetH4_closed_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.four_le_hFun_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.gFun_four_lt_hFun_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.fibCnt_lt_hFun_five' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.lemmaA' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.ceslemgeneral_star' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT: 0
