'HasPairwiseSums.mono' depends on axioms: [propext, Quot.sound]
'HasPosPairwiseSums.mono' depends on axioms: [propext, Quot.sound]
'one_le_gFun' depends on axioms: [propext, Classical.choice, Quot.sound]
'one_le_hFun' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.not_hps_A95' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.five_le_gFun_five_five' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_sandwich' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_g3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_g3small' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_h3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_g4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_h4_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_h4_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_g5_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_g5_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_h5_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_hk_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_general_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
