'HasPairwiseSums.mono' depends on axioms: [propext, Quot.sound]
'HasPosPairwiseSums.mono' depends on axioms: [propext, Quot.sound]
'one_le_gFun' depends on axioms: [propext, Classical.choice, Quot.sound]
'one_le_hFun' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.not_hps_A95' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.five_le_gFun_five_five' depends on axioms: [propext, Classical.choice, Quot.sound]
'h4_le_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.T1TargetH4_closed_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'ErdosH4.has_pps_of_large_1000' depends on axioms: [propext, Classical.choice, Quot.sound]
'ErdosH4.chain_phinu' depends on axioms: [propext, Classical.choice, Quot.sound]
'ErdosH4.not_weak_sidon_of_phinu' depends on axioms: [propext, Classical.choice, Quot.sound]
'ErdosH4.has_pps_central_even_asym' depends on axioms: [propext, Classical.choice, Quot.sound]
'ErdosH4.exists_valid_b3_asym' depends on axioms: [propext, Classical.choice, Quot.sound]
'cert_lookup' depends on axioms: [propext, Quot.sound]
'ErdosH4Tail.tail_cert' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_sandwich' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_g3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_g3small' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_h3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_g4' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_h4_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_h4_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_g5_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_g5_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_h5_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_hk_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos866.standing_general_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
