275 cells to archive (of 278 requested)
[1/275] ok   g3_n001: TRIVIAL_M_EQ_N t=0s
[2/275] ok   g4_n001: TRIVIAL_M_EQ_N t=0s
[3/275] ok   g4_n002: TRIVIAL_M_EQ_N t=0s
[4/275] ok   g5_n001: TRIVIAL_M_EQ_N t=0s
[5/275] ok   g5_n002: TRIVIAL_M_EQ_N t=0s
[6/275] ok   g5_n003: TRIVIAL_M_EQ_N t=0s
[7/275] ok   g6_n001: TRIVIAL_M_EQ_N t=0s
[8/275] ok   g6_n002: TRIVIAL_M_EQ_N t=0s
[9/275] ok   g6_n003: TRIVIAL_M_EQ_N t=0s
[10/275] ok   g6_n004: TRIVIAL_M_EQ_N t=0s
[11/275] ok   h2_n001: TRIVIAL_M_EQ_N t=0s
[12/275] ok   h3_n001: TRIVIAL_M_EQ_N t=0s
[13/275] ok   h3_n002: TRIVIAL_M_EQ_N t=0s
[14/275] ok   h4_n001: TRIVIAL_M_EQ_N t=0s
[15/275] ok   h4_n002: TRIVIAL_M_EQ_N t=0s
[16/275] ok   h4_n003: TRIVIAL_M_EQ_N t=0s
[17/275] ok   h5_n001: TRIVIAL_M_EQ_N t=0s
[18/275] ok   h5_n002: TRIVIAL_M_EQ_N t=0s
[19/275] ok   h5_n003: TRIVIAL_M_EQ_N t=0s
[20/275] ok   h5_n004: TRIVIAL_M_EQ_N t=0s
[21/275] ok   h6_n001: TRIVIAL_M_EQ_N t=0s
[22/275] ok   h6_n002: TRIVIAL_M_EQ_N t=0s
[23/275] ok   h6_n003: TRIVIAL_M_EQ_N t=0s
[24/275] ok   h6_n004: TRIVIAL_M_EQ_N t=0s
[25/275] ok   h6_n005: TRIVIAL_M_EQ_N t=0s
[26/275] ok   g2_n001: VERIFIED t=2.1s
[27/275] ok   g3_n002: VERIFIED t=0.39s
[28/275] ok   g4_n003: VERIFIED t=0.44s
[29/275] ok   g5_n004: VERIFIED t=0.28s
[30/275] ok   g6_n005: VERIFIED t=0.28s
[31/275] ok   h2_n002: VERIFIED t=0.28s
[32/275] ok   h3_n003: VERIFIED t=0.34s
[33/275] ok   h4_n004: VERIFIED t=0.29s
[34/275] ok   h5_n005: VERIFIED t=0.29s
[35/275] ok   h6_n006: VERIFIED t=0.33s
[36/275] ok   g2_n002: VERIFIED t=0.28s
[37/275] ok   h2_n003: VERIFIED t=0.28s
[38/275] ok   g2_n003: VERIFIED t=0.34s
[39/275] ok   g6_n006: VERIFIED t=0.33s
[40/275] ok   h2_n004: VERIFIED t=0.28s
[41/275] ok   h6_n007: VERIFIED t=0.33s
[42/275] ok   h4_n005: VERIFIED t=0.33s
[43/275] ok   h5_n006: VERIFIED t=0.41s
