'UCFrankl.card_le_two_mul_freq_of_singleton_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.frankl_of_singleton_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.entropy_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.entropy_le_log_card_of_support_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.isPMF_uniformOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.entropy_uniformOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.isPMF_pushforward₂' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.pushforward₂_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.marginal_uniformOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.franklWithConstant_of_gilmerEngine' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.psi_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.psi_lt_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.two_mul_psi_sub_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.binEntropy_at_psi' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.binEntropy_le_binEntropy_union' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.condBit_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.condBit_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.condBit_add_condBit_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.sum_condBit_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.isPMF_fstMarg' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.entropy_eq_fstMarg_add_condH' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.condH_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.massKey_of_weakBoppana' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.orPush_apply_false' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.orPush_apply_true' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.fstMarg_orPush' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.condH_orPush_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.entropy_comp_equiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.isPMF_comp_equiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.pushforward₂_comp_equiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.bitMarginal_zero_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.bitMarginal_succ_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.sum_false_eq_one_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.entropy_orPush_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.finsetBoolEquiv_union' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.bitMarginal_finsetBoolEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.gilmerEngine_of_weakBoppana' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.franklWithConstant_of_weakBoppana' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.franklWithConstant_centile_of_weakBoppana' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.franklWithConstant_of_forall_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.franklWithConstant_psi_of_weakBoppana' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.HoBoppana.alpha_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.HoBoppana.generalized_boppana' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.HoBoppana.generalized_boppana_full' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.continuous_etaCL' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.hasDerivAt_etaCL' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.hasDerivAt_etaCL'' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.etaCL''_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.concaveOn_etaCL' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.etaCL_add_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.mul_etaCL_neg_log' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.negMulLog_one_sub_diag' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.mul_binEntropy_add_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.hoAlpha_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.sharp_boppana_diag' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.weakBoppana_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.weakBoppana_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.weakBoppana_eleven_twentieths' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.gilmerEngine_of_lt_psi' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.franklWithConstant_psi' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.franklWithConstant_centile' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.fc5_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.fc5_unionClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.fc5_freq_uniform' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.fc5_majority' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.powersetFin3_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.powersetFin3_unionClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.powersetFin3_freq' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.gapless3_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.gapless3_unionClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.gapless3_freq' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.gapless3_traceShearer' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.ulcOn_of_unionMonotoneOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.ulcOn_uniformOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.negMulLog_eq_mul_neg_log_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.entropy_eq_crossEntropy_sub_klDiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.entropy_sub_entropy_eq_inner_sub_klDiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.subMass_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.subMass_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.subMass_eq_zero_of_forall_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.mem_leakAdmissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.min_budget_minMass_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.leakAdmissible_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.leakScale_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.subMass_leakScale_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.leakScale_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.leakScale_le_budget' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.min_le_leakScale' depends on axioms: [propext, Classical.choice, Quot.sound]
'UCFrankl.leakScale_mono_budget' depends on axioms: [propext, Classical.choice, Quot.sound]
